source,iteration,slot,role,minutes,utc,status,regime,time_basis
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000223-primary.json,223,0,Primary,0.5370403854176402,2026-09-10T12:30:59.532958+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000224-primary.json,224,0,Primary,0.4873097104175637,2026-09-10T12:36:01.269516+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000906-primary.json,906,0,Primary,1.8348020069339934,2026-09-10T12:37:16.867186+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000225-primary.json,225,0,Primary,0.4256421055664153,2026-09-10T12:41:04.730634+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000907-primary.json,907,0,Primary,0.4802020770846866,2026-09-10T12:42:20.160034+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000226-primary.json,226,0,Primary,0.4410652284840277,2026-09-10T12:46:08.824133+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000908-primary.json,908,0,Primary,0.8214922083328323,2026-09-10T12:47:46.643149+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000227-primary.json,227,0,Primary,0.49939412776730024,2026-09-10T12:51:18.298083+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000909-primary.json,909,0,Primary,0.7704545645838758,2026-09-10T12:53:10.355628+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000228-primary.json,228,0,Primary,0.4884232368009786,2026-09-10T12:56:27.750928+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000910-primary.json,910,0,Primary,0.4329046812509963,2026-09-10T12:58:16.010463+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000229-primary.json,229,0,Primary,0.46735313681613966,2026-09-10T13:01:36.649613+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000911-primary.json,911,0,Primary,0.4953116423508618,2026-09-10T13:03:26.090026+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000230-primary.json,230,0,Primary,0.5200940923668289,2026-09-10T13:06:50.197053+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000912-primary.json,912,0,Primary,0.7422828826510037,2026-09-10T13:08:53.089272+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000231-primary.json,231,0,Primary,0.9896601569508978,2026-09-10T13:12:34.835740+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000913-primary.json,913,0,Primary,1.5387855735995497,2026-09-10T13:15:13.082910+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000232-primary.json,232,0,Primary,0.4410162374998132,2026-09-10T13:17:52.619945+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000233-primary.json,233,0,Primary,1.1568903000016386,2026-09-10T13:23:59.615312+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000914-primary.json,914,0,Primary,4.508399559716539,2026-09-10T13:24:31.904608+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000915-primary.json,915,0,Primary,1.165642732634054,2026-09-10T13:30:30.446554+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000234-primary.json,234,0,Primary,2.708551154167314,2026-09-10T13:31:31.656587+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000916-primary.json,916,0,Primary,0.45036864999953347,2026-09-10T13:35:47.920081+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000235-primary.json,235,0,Primary,0.8257570416666568,2026-09-10T13:37:09.917785+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000917-primary.json,917,0,Primary,0.2731583423660292,2026-09-10T13:40:53.482743+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000236-primary.json,236,0,Primary,0.5069150513833544,2026-09-10T13:42:28.257637+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000918-primary.json,918,0,Primary,1.7399022437496265,2026-09-10T13:47:26.706255+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000237-primary.json,237,0,Primary,0.38777537638282716,2026-09-10T13:47:45.415458+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000238-primary.json,238,0,Primary,0.3738247798658752,2026-09-10T13:52:58.638547+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000919-primary.json,919,0,Primary,0.76575119306605,2026-09-10T13:53:01.976610+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-phase-000239-primary.json,239,0,Primary,0.6810878284663583,2026-09-10T13:58:30.075180+00:00,returned,sequential,phase_file_mtime_anchor_proxy
experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-phase-000920-primary.json,920,0,Primary,0.7579260305501521,2026-09-10T13:58:36.347819+00:00,returned,sequential,phase_file_mtime_anchor_proxy
